RaceDate,SourceFile,Track,Race,Horse,PP,FormString,LayoffFlag
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,7,Forrest Leah,8,2684-6-57-8-75,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,8,Mymomsanace,1,1X4?1-78-3-7X?X5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,8,Premier Delight,3,33X9-276X71-87,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,8,Black To Reality,6,2444-6172-8-6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,8,American Land,9,54X777-4-777X7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,9,Boots N Bling,6,6X5371-?78X16,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,9,Safe Passage,7,8468X37543-7,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,FLMD,9,Little Bit Of Soul,8,111-4-3914-63,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,1,Hope'S Star,4,?9-317X8493X6,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,1,Calderone,5,7-56-1-84487-10,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,2,Resilience,1,?8X415544-3-1,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,2,Fillister Photo,2,634531251X5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,3,Zambony,4,2-6325431-36,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,3,Tow Nater,5,624-143-4-6-28,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,4,Genie Ina Bottle,2,2-1108X84-553-?,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,4,Real Slick Chic,3,13-61-36?35X5,2UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,4,Brooke'S Ocean,4,8?X71-41-21-?4,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,4,Look Kimbo,5,6332?665-23,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,4,Lucky Dottie,6,32-3-6X2-645-61,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,5,Dg'S Legacy,7,7?-7X8X4-23,3UP
2025-11-22,HarnessSuite_2_6_FULL.csv,HAW,6,Speedy Rockette,1,76-256X66-?-4,2UP
